name,calories,fat,proteins,carbohydrate,Meal Type,Carb_Level,Protein_Level,Nutrient_Density
Bagea kelapa asin,0.4455445544554455,0.139,0.0182857142857142,0.120710973724884,2,High-Carb,Low-Protein,-7.433559528754127e-06
Pisang Goreng ,0.2178217821782178,0.023,0.0131428571428571,0.0097372488408037,4,Low-Carb,Low-Protein,-0.0005504200026290411
Kerupuk Melinjo tebal goreng asin,0.4267326732673267,0.162,0.0634285714285714,0.0973724884080371,4,High-Carb,High-Protein,-0.0028095747734452393
Mie pangsit basah,0.1039603960396039,0.049,0.0337142857142857,0.0145285935085007,1,Low-Carb,High-Protein,-0.007282710756646459
Combro ,0.2079207920792079,0.066,0.0091428571428571,0.0553323029366306,4,High-Carb,Low-Protein,-0.007333718631721955
Ayam hati segar,0.2584158415841584,0.161,0.1565714285714285,0.0024729520865533,3,Low-Carb,High-Protein,-0.007567693073058964
Pepaya lodeh,0.2722772277227723,0.1159999999999999,0.0662857142857142,0.0466769706336939,3,High-Carb,High-Protein,-0.011155188962388589
Kerupuk Melinjo tebal goreng manis,0.4346534653465346,0.1639999999999999,0.0571428571428571,0.1015455950540958,4,High-Carb,High-Protein,-0.01222016159160422
Ayam goreng church texas dada,0.3346534653465347,0.206,0.2011428571428571,0.0006182380216383,3,Low-Carb,High-Protein,-0.012666512102610711
Bagea kelapa manis,0.4475247524752475,0.138,0.0074285714285714,0.1245749613601236,2,High-Carb,Low-Protein,-0.013399155642192165
Kue Koya ,0.3623762376237623,0.043,0.024,0.012210200927357,0,Low-Carb,Low-Protein,-0.018736825516873373
Barongko,0.1574257425742574,0.0579999999999999,0.0177142857142857,0.0363214837712519,4,High-Carb,Low-Protein,-0.025181430102908964
Keripik gadung,0.4415841584158416,0.145,0.016,0.1174652241112828,4,High-Carb,Low-Protein,-0.026121294316361194
muesli master crumble,0.1227722772277227,0.024,0.0137142857142857,0.0069551777434312,2,Low-Carb,Low-Protein,-0.027127536362050078
Sagu Lemak (Kue Sagon),0.4475247524752475,0.148,0.016,0.1187017001545595,1,High-Carb,Low-Protein,-0.029715161131818903
Sop saudara masakan,0.0881188118811881,0.05,0.0411428571428571,0.0060278207109737,3,Low-Carb,High-Protein,-0.032107673470569566
Soto sukaraja masakan,0.0792079207920792,0.035,0.0182857142857142,0.0139103554868624,3,Low-Carb,Low-Protein,-0.03539917220667135
Sayur ndusuk,0.0485148514851485,0.025,0.0177142857142857,0.0055641421947449,3,Low-Carb,Low-Protein,-0.035484734128523016
Kue Tambang ,0.5069306930693069,0.26,0.1485714285714285,0.0933539412673879,0,High-Carb,High-Protein,-0.03565496181891406
Kacang Sukro Putih ,0.4831683168316831,0.256,0.1462857142857143,0.0921174652241112,1,High-Carb,High-Protein,-0.03641957358874375
Ikan Mas pepes,0.2069306930693069,0.113,0.0868571428571428,0.0182380216383307,2,Low-Carb,High-Protein,-0.03820021663805246
Nasi gurih,0.1881188118811881,0.075,0.0268571428571428,0.0401854714064915,1,High-Carb,Low-Protein,-0.04229956247984864
Sayur kohu-kohu,0.1316831683168317,0.066,0.0417142857142857,0.0173106646058732,3,Low-Carb,High-Protein,-0.05296802014239983
Telur burung puyuh segar,0.1148514851485148,0.07,0.0611428571428571,0.0024729520865533,3,Low-Carb,High-Protein,-0.055586004624403725
